Unit Type,Sub Unit,RS,Name,Model,SZ,MV,Arm,Thr,Str,S,M,L,E,OV,Point,Abilites
Combat Vehicle,Tracked,,AC/2 Carrier,(LB-X),3,3t,3,0,3,1,1,1,0,0,5,"C3S,MHQ1,SRCH"
Combat Vehicle,Tracked,RS3039,AC/2 Carrier,(Standard),3,3t,2,0,3,0,0,0,0,0,4,"AC1/1/1,SRCH,EE"
Infantry,Battle Armor,RS3058Uu,Achileus Light Battle Armor,(WoB),1,3j,1,0,2,1,0,0,0,0,3,"STL,MEC,CAR6,AM,LECM,RCN"
Infantry,Battle Armor,RS3058Uu,Achileus Light Battle Armor,[Flamer],1,3j,1,0,2,1,0,0,0,0,2,"STL,MEC,CAR4,AM,LECM,HT1"
Infantry,Battle Armor,RS3058Uu,Achileus Light Battle Armor,[Laser],1,3j,1,0,2,1,0,0,0,0,2,"STL,MEC,CAR4,AM,LECM"
Infantry,Battle Armor,RS3058Uu,Achileus Light Battle Armor,[MG],1,3j,1,0,2,1,0,0,0,0,2,"STL,MEC,CAR4,AM,LECM"
Infantry,Battle Armor,RS 3075,Aerie,(Salvage),1,3j,0,,2,1,0,0,0,0,1,"STL,CAR5,LECM"
Infantry,Battle Armor,RS 3075,Aerie PA(L),,1,3j,0,,2,1,0,0,0,0,1,"STL,MEC,CAR5,AM,LECM"
Infantry,Battle Armor,RS 3075,Afreet Medium Battle Armor,,1,4j,1,,2,2,1,0,0,0,3,"MEC,CAR5,AM"
Infantry,Battle Armor,RS 3075,Afreet Medium Battle Armor,(Hells's Horses),1,4j,1,,2,2,1,0,0,0,2,"MEC,CAR5,AM"
Infantry,Battle Armor,RS 3075,Afreet Medium Battle Armor,(Jade Falcon),1,4j,1,,2,2,1,0,0,0,4,"MEC,CAR5,AM,FR"
Aerospace,Aerospace Fighter,RS3050U-C,Ahab,AHB-443,4,5a,8,1,5,2,3,2,0,1,17,"SNARC,VSTOL,SPC,BOMB4"
Aerospace,Aerospace Fighter,,Ahab,AHB-443b,4,5a,8,1,5,3,4,4,0,0,--,"SNARC,VSTOL,SPC,BOMB4"
Aerospace,Aerospace Fighter,RS3050U-C,Ahab,AHB-643,4,5a,8,1,5,7,8,2,0,0,21,"VSTOL,SPC,BOMB4"
Aerospace,Aerospace Fighter,RS3050U-C,Ahab,AHB-MD,4,5a,8,1,5,7,7,0,0,0,19,"VSTOL,SPC,BOMB4"
Aerospace,Aerospace Fighter,RS3050U-C,Ahab,AHB-X,4,5a,8,1,5,3,4,2,0,3,19,"VSTOL,SPC,BOMB4"
