Faction	Unit Type	Name	BV2	Tonnage	Cost	Rules Level	Tech Base	Source	Date	Era	BV1 (base)	BV1 (C3)	BV1 (total)
Blood Spirit	BattleMech	Battle Cobra A	TBD	40	4515000	Tournament	Clan/Level 2	3055/3058	2950*	2950	1178	0	1178
Blood Spirit	BattleMech	Battle Cobra B	TBD	40	5026000	Tournament	Clan/Level 2	3055/3058	2950*	2950	1421	0	1421
Blood Spirit	BattleMech	Battle Cobra C	TBD	40	5006750	Tournament	Clan/Level 2	Upgrades	3060	Present	1319	0	1319
Blood Spirit	BattleMech	Battle Cobra H	TBD	40	5019000	Tournament	Clan/Level 2	Upgrades	3060	Present	1258	0	1258
Blood Spirit	BattleMech	Battle Cobra Prime	TBD	40	4595500	Tournament	Clan/Level 2	3055/3058	2950*	2950	1236	0	1236
Blood Spirit	BattleMech	Blood Asp A	TBD	90	29561625	Tournament	Clan/Level 2	3060	3060	Present	2901	0	2901
Blood Spirit	BattleMech	Blood Asp B	TBD	90	30164875	Tournament	Clan/Level 2	3060	3060	Present	2662	0	2662
Blood Spirit	BattleMech	Blood Asp C	TBD	90	29857313	Tournament	Clan/Level 2	3060	3060	Present	1969	0	1969
Blood Spirit	BattleMech	Blood Asp D	TBD	90	29309875	Tournament	Clan/Level 2	3060	3060	Present	1977	0	1977
Blood Spirit	BattleMech	Blood Asp E	TBD	90	29641450	Tournament	Clan/Level 2	Upgrades	3060	Present	3042	0	3042
Blood Spirit	BattleMech	Blood Asp Prime	TBD	90	29416750	Tournament	Clan/Level 2	3060	3060	Present	2295	0	2295
Blood Spirit	BattleMech	Blood Kite	TBD	85	9691225	Tournament	Clan/Level 2	Crusader	2950*	2950	2484	0	2484
Blood Spirit	BattleMech	Blood Kite 2	TBD	85	10216625	Tournament	Clan/Level 2	3067	3067	Present	2901	0	2901
Blood Spirit	BattleMech	Clint IIC	TBD	40	6990480	Tournament	Clan/Level 2	3060	2830	2950	1176	0	1176
Blood Spirit	BattleMech	Crimson Langur A	TBD	50	13761876	Tournament	Clan/Level 2	3067	3067	Present	1710	0	1710
Blood Spirit	BattleMech	Crimson Langur B	TBD	50	14987188	Tournament	Clan/Level 2	3067	3067	Present	1981	0	1981
Blood Spirit	BattleMech	Crimson Langur C	TBD	50	13307188	Tournament	Clan/Level 2	3067	3067	Present	1268	0	1268
Blood Spirit	BattleMech	Crimson Langur Prime	TBD	50	13986876	Tournament	Clan/Level 2	3067	3067	Present	1784	0	1784
Blood Spirit	BattleMech	Crossbow A	TBD	65	8508503	Tournament	Clan/Level 2	3055/3058	2950*	2950	1628	0	1628
Blood Spirit	BattleMech	Crossbow B	TBD	65	8632253	Tournament	Clan/Level 2	3055/3058	2950*	2950	1521	0	1521
Blood Spirit	BattleMech	Crossbow C	TBD	65	9175718	Tournament	Clan/Level 2	Upgrades	3060	Present	1385	0	1385
Blood Spirit	BattleMech	Crossbow H	TBD	65	8481172	Tournament	Clan/Level 2	Upgrades	3060	Present	1461	0	1461
Blood Spirit	BattleMech	Crossbow Prime	TBD	65	9135503	Tournament	Clan/Level 2	3055/3058	2950*	2950	1658	0	1658
Blood Spirit	BattleMech	Griffin IIC 3	TBD	40	4488960	Tournament	Clan/Level 2	3067	3060*	Present	1317	0	1317
Blood Spirit	BattleMech	Griffin IIC 4	TBD	40	4458510	Tournament	Clan/Level 2	3067	3060*	Present	1407	0	1407
Blood Spirit	BattleMech	Grizzly	TBD	70	7080954	Tournament	Clan/Level 2	3055/3058	2950*	2950	2152	0	2152
Blood Spirit	BattleMech	Ha Otoko	TBD	65	6458211	Tournament	Clan/Level 2	3060	3060	Present	1466	0	1466
Blood Spirit	BattleMech	Hellfire 2	TBD	60	13508560	Tournament	Clan/Level 2	3067	3059	Present	1793	0	1793
Blood Spirit	BattleMech	Hunchback IIC 2	TBD	50	7958500	Tournament	Clan/Level 2	RS3058U	3067*	Present	1578	0	1578
Blood Spirit	BattleMech	Marauder IIC 2	TBD	85	10033784	Tournament	Clan/Level 2	3067	3060	Present	2244	0	2244
Blood Spirit	BattleMech	Phoenix Hawk IIC 3	TBD	80	21398639	Tournament	Clan/Level 2	3067	3067	Present	2259	0	2259
Blood Spirit	BattleMech	Piranha	TBD	20	2780940	Tournament	Clan/Level 2	3055/3058	2950*	2950	801	0	801
Blood Spirit	BattleMech	Predator	TBD	60	12127200	Tournament	Clan/Level 2	3060	3059	Present	1592	0	1592
Blood Spirit	BattleMech	Rifleman IIC 3	TBD	65	5836875	Tournament	Clan/Level 2	3067	3062	Present	1629	0	1629
Blood Spirit	BattleMech	Rifleman IIC 4	TBD	65	6048075	Tournament	Clan/Level 2	3067	3062	Present	2023	0	2023
Blood Spirit	BattleMech	Stalking Spider	TBD	50	5799501	Tournament	Clan/Level 2	3060	3059	Present	1884	0	1884
Blood Spirit	BattleMech	Stooping Hawk A	TBD	55	7779823	Tournament	Clan/Level 2	3060	2950*	2950	2333	0	2333
Blood Spirit	BattleMech	Stooping Hawk B	TBD	55	7779323	Tournament	Clan/Level 2	3060	2950*	2950	1709	0	1709
Blood Spirit	BattleMech	Stooping Hawk C	TBD	55	7066323	Tournament	Clan/Level 2	3060	2950*	2950	2286	0	2286
Blood Spirit	BattleMech	Stooping Hawk D	TBD	55	6798657	Tournament	Clan/Level 2	3060	2950*	2950	1639	0	1639
Blood Spirit	BattleMech	Stooping Hawk E	TBD	55	7418945	Tournament	Clan/Level 2	Upgrades	3060	Present	1525	0	1525
Blood Spirit	BattleMech	Stooping Hawk Prime	TBD	55	7229073	Tournament	Clan/Level 2	3060	2950*	2950	1881	0	1881
Blood Spirit	BattleMech	Thresher	TBD	60	13371200	Tournament	Clan/Level 2	3055/3058	2950*	2950	2043	0	2043
Blood Spirit	BattleMech	Warhammer IIC 3	TBD	80	8832001	Tournament	Clan/Level 2	3067	3060*	Present	2038	0	2038
Blood Spirit	Dropship	Arcadia	TBD	3000	565948800	Tournament	Clan/Level 2	RS:AT2	3066	Present	11150	0	11150
